Body Regions;A01
Leydig Cell Tumor;C04.588.322.762.500.249
Sertoli Cell Tumor;C04.588.322.762.500.500
Thyroid Neoplasms;C04.588.322.894
Thyroid Cancer, Papillary;C04.588.322.894.400
Thyroid Nodule;C04.588.322.894.800
Eye Neoplasms;C04.588.364
Conjunctival Neoplasms;C04.588.364.235
Intraocular Lymphoma;C04.588.364.447
Orbital Neoplasms;C04.588.364.659
Paraneoplastic Syndromes, Ocular;C04.588.364.738
Retinal Neoplasms;C04.588.364.818
Retinoblastoma;C04.588.364.818.760
Uveal Neoplasms;C04.588.364.978
Choroid Neoplasms;C04.588.364.978.223
Iris Neoplasms;C04.588.364.978.400
Head and Neck Neoplasms;C04.588.443
Squamous Cell Carcinoma of Head and Neck;C04.588.443.177
Esophageal Neoplasms;C04.588.443.353
Esophageal Squamous Cell Carcinoma;C04.588.443.353.500
Facial Neoplasms;C04.588.443.392
Eyelid Neoplasms;C04.588.443.392.500
Mouth Neoplasms;C04.588.443.591
Gingival Neoplasms;C04.588.443.591.402
Leukoplakia, Oral;C04.588.443.591.545
Leukoplakia, Hairy;C04.588.443.591.545.500
Lip Neoplasms;C04.588.443.591.550
Palatal Neoplasms;C04.588.443.591.692
Salivary Gland Neoplasms;C04.588.443.591.824
Parotid Neoplasms;C04.588.443.591.824.695
Sublingual Gland Neoplasms;C04.588.443.591.824.882
Submandibular Gland Neoplasms;C04.588.443.591.824.885
Tongue Neoplasms;C04.588.443.591.925
Otorhinolaryngologic Neoplasms;C04.588.443.665
Ear Neoplasms;C04.588.443.665.312
Laryngeal Neoplasms;C04.588.443.665.481
Nose Neoplasms;C04.588.443.665.650
Paranasal Sinus Neoplasms;C04.588.443.665.650.693
Maxillary Sinus Neoplasms;C04.588.443.665.650.693.575
Pharyngeal Neoplasms;C04.588.443.665.710
Hypopharyngeal Neoplasms;C04.588.443.665.710.485
Nasopharyngeal Neoplasms;C04.588.443.665.710.650
Nasopharyngeal Carcinoma;C04.588.443.665.710.650.500
Oropharyngeal Neoplasms;C04.588.443.665.710.684
Tonsillar Neoplasms;C04.588.443.665.710.684.800
Parathyroid Neoplasms;C04.588.443.680
Thyroid Neoplasms;C04.588.443.915
Thyroid Cancer, Papillary;C04.588.443.915.400
Thyroid Nodule;C04.588.443.915.800
Tracheal Neoplasms;C04.588.443.925
Hematologic Neoplasms;C04.588.448
Bone Marrow Neoplasms;C04.588.448.200
Polycythemia Vera;C04.588.448.200.500
Mammary Neoplasms, Animal;C04.588.531
Mammary Neoplasms, Experimental;C04.588.531.500
Nervous System Neoplasms;C04.588.614
Central Nervous System Neoplasms;C04.588.614.250
Brain Neoplasms;C04.588.614.250.195
Cerebral Ventricle Neoplasms;C04.588.614.250.195.205
Choroid Plexus Neoplasms;C04.588.614.250.195.205.200
Papilloma, Choroid Plexus;C04.588.614.250.195.205.200.500
Infratentorial Neoplasms;C04.588.614.250.195.411
Brain Stem Neoplasms;C04.588.614.250.195.411.100
Cerebellar Neoplasms;C04.588.614.250.195.411.211
Neurocytoma;C04.588.614.250.195.648
Pinealoma;C04.588.614.250.195.766
Supratentorial Neoplasms;C04.588.614.250.195.885
Hypothalamic Neoplasms;C04.588.614.250.195.885.500
Pallister-Hall Syndrome;C04.588.614.250.195.885.500.299
Pituitary Neoplasms;C04.588.614.250.195.885.500.600
Central Nervous System Cysts;C04.588.614.250.387
Arachnoid Cysts;C04.588.614.250.387.100
Colloid Cysts;C04.588.614.250.387.200
Meningeal Neoplasms;C04.588.614.250.580
Meningeal Carcinomatosis;C04.588.614.250.580.150
Meningioma;C04.588.614.250.580.500
Spinal Cord Neoplasms;C04.588.614.250.803
Epidural Neoplasms;C04.588.614.250.803.342
Cranial Nerve Neoplasms;C04.588.614.300
Neuroma, Acoustic;C04.588.614.300.015
Optic Nerve Neoplasms;C04.588.614.300.600
Optic Nerve Glioma;C04.588.614.300.600.600
Paraneoplastic Syndromes, Nervous System;C04.588.614.550
Anti-N-Methyl-D-Aspartate Receptor Encephalitis;C04.588.614.550.112
Lambert-Eaton Myasthenic Syndrome;C04.588.614.550.225
Limbic Encephalitis;C04.588.614.550.450
Myelitis, Transverse;C04.588.614.550.550
Opsoclonus-Myoclonus Syndrome;C04.588.614.550.600
Paraneoplastic Cerebellar Degeneration;C04.588.614.550.650
Paraneoplastic Polyneuropathy;C04.588.614.550.700
Peripheral Nervous System Neoplasms;C04.588.614.596
Cranial Nerve Neoplasms;C04.588.614.596.240
Neuroma, Acoustic;C04.588.614.596.240.015
Optic Nerve Neoplasms;C04.588.614.596.240.240
Optic Nerve Glioma;C04.588.614.596.240.240.500
Pelvic Neoplasms;C04.588.699
Skin Neoplasms;C04.588.805
Acanthoma;C04.588.805.040
Sebaceous Gland Neoplasms;C04.588.805.578
Muir-Torre Syndrome;C04.588.805.578.500
Sweat Gland Neoplasms;C04.588.805.776
Soft Tissue Neoplasms;C04.588.839
Muscle Neoplasms;C04.588.839.500
Vascular Neoplasms;C04.588.839.750
Splenic Neoplasms;C04.588.842
Thoracic Neoplasms;C04.588.894
Heart Neoplasms;C04.588.894.309
Carney Complex;C04.588.894.309.500
Mediastinal Neoplasms;C04.588.894.479
Respiratory Tract Neoplasms;C04.588.894.797
Lung Neoplasms;C04.588.894.797.520
Adenocarcinoma of Lung;C04.588.894.797.520.055
Adenocarcinoma, Bronchiolo-Alveolar;C04.588.894.797.520.055.500
Bronchial Neoplasms;C04.588.894.797.520.109
Carcinoma, Bronchogenic;C04.588.894.797.520.109.220
Carcinoma, Non-Small-Cell Lung;C04.588.894.797.520.109.220.249
Small Cell Lung Carcinoma;C04.588.894.797.520.109.220.624
Multiple Pulmonary Nodules;C04.588.894.797.520.237
Pancoast Syndrome;C04.588.894.797.520.734
Pulmonary Blastoma;C04.588.894.797.520.867
Pulmonary Sclerosing Hemangioma;C04.588.894.797.520.933
Pleural Neoplasms;C04.588.894.797.640
Pleural Effusion, Malignant;C04.588.894.797.640.700
Solitary Fibrous Tumor, Pleural;C04.588.894.797.640.800
Tracheal Neoplasms;C04.588.894.797.760
Thymus Neoplasms;C04.588.894.949
Thymoma;C04.588.894.949.500
Urogenital Neoplasms;C04.588.945
Genital Neoplasms, Female;C04.588.945.418
Fallopian Tube Neoplasms;C04.588.945.418.365
Uterine Neoplasms;C04.588.945.418.948
Endometrial Neoplasms;C04.588.945.418.948.585
Carcinoma, Endometrioid;C04.588.945.418.948.585.124
Uterine Cervical Neoplasms;C04.588.945.418.948.850
Vaginal Neoplasms;C04.588.945.418.955
Vulvar Neoplasms;C04.588.945.418.968
Genital Neoplasms, Male;C04.588.945.440
Penile Neoplasms;C04.588.945.440.715
Prostatic Neoplasms;C04.588.945.440.770
Prostatic Neoplasms, Castration-Resistant;C04.588.945.440.770.500
Testicular Neoplasms;C04.588.945.440.915
Sertoli-Leydig Cell Tumor;C04.588.945.440.915.500
Leydig Cell Tumor;C04.588.945.440.915.500.249
Sertoli Cell Tumor;C04.588.945.440.915.500.500
Urologic Neoplasms;C04.588.945.947
Kidney Neoplasms;C04.588.945.947.535
Carcinoma, Renal Cell;C04.588.945.947.535.160
Wilms Tumor;C04.588.945.947.535.585
Denys-Drash Syndrome;C04.588.945.947.535.585.220
WAGR Syndrome;C04.588.945.947.535.585.950
Nephroma, Mesoblastic;C04.588.945.947.535.790
Ureteral Neoplasms;C04.588.945.947.940
Urethral Neoplasms;C04.588.945.947.945
Urinary Bladder Neoplasms;C04.588.945.947.960
Venereal Tumors, Veterinary;C04.588.945.956
Neoplasms, Experimental;C04.619
Carcinoma 256, Walker;C04.619.045
Carcinoma, Brown-Pearce;C04.619.124
Carcinoma, Ehrlich Tumor;C04.619.169
Carcinoma, Krebs 2;C04.619.214
Carcinoma, Lewis Lung;C04.619.230
Leukemia, Experimental;C04.619.531
Avian Leukosis;C04.619.531.216
Leukemia L1210;C04.619.531.594
Leukemia L5178;C04.619.531.602
Leukemia P388;C04.619.531.782
Liver Neoplasms, Experimental;C04.619.540
Mammary Neoplasms, Experimental;C04.619.590
Melanoma, Experimental;C04.619.600
Sarcoma, Experimental;C04.619.857
Sarcoma 37;C04.619.857.573
Sarcoma 180;C04.619.857.656
Sarcoma, Avian;C04.619.857.800
Sarcoma, Yoshida;C04.619.857.822
Neoplasms, Hormone-Dependent;C04.626
Neoplasms, Multiple Primary;C04.651
Hamartoma Syndrome, Multiple;C04.651.435
Proteus Syndrome;C04.651.435.500
Multiple Endocrine Neoplasia;C04.651.600
Multiple Endocrine Neoplasia Type 1;C04.651.600.500
Multiple Endocrine Neoplasia Type 2a;C04.651.600.505
Multiple Endocrine Neoplasia Type 2b;C04.651.600.510
Tuberous Sclerosis;C04.651.800
Neoplasms, Post-Traumatic;C04.666
Neoplasms, Radiation-Induced;C04.682
Leukemia, Radiation-Induced;C04.682.512
Neoplasms, Second Primary;C04.692
Neoplastic Processes;C04.697
Anaplasia;C04.697.045
Carcinogenesis;C04.697.098
Cell Transformation, Neoplastic;C04.697.098.500
Blast Crisis;C04.697.098.500.110
Cell Transformation, Viral;C04.697.098.500.160
Cocarcinogenesis;C04.697.098.875
Neoplasm Invasiveness;C04.697.645
Leukemic Infiltration;C04.697.645.500
Neoplasm Metastasis;C04.697.650
Lymphatic Metastasis;C04.697.650.560
Neoplasm Micrometastasis;C04.697.650.695
Neoplasm Seeding;C04.697.650.830
Neoplasms, Unknown Primary;C04.697.650.895
Neoplastic Cells, Circulating;C04.697.650.900
Neoplasm Recurrence, Local;C04.697.655
Neoplasm Regression, Spontaneous;C04.697.670
Neoplasm, Residual;C04.697.700
Oncogene Addiction;C04.697.850
Neoplastic Syndromes, Hereditary;C04.700
Adenomatous Polyposis Coli;C04.700.100
Gardner Syndrome;C04.700.100.392
Basal Cell Nevus Syndrome;C04.700.175
Birt-Hogg-Dube Syndrome;C04.700.212
Colorectal Neoplasms, Hereditary Nonpolyposis;C04.700.250
Lynch Syndrome II;C04.700.250.500
Muir-Torre Syndrome;C04.700.250.500.500
Dysplastic Nevus Syndrome;C04.700.305
Exostoses, Multiple Hereditary;C04.700.330
Hamartoma Syndrome, Multiple;C04.700.435
Hereditary Breast and Ovarian Cancer Syndrome;C04.700.517
Li-Fraumeni Syndrome;C04.700.600
Multiple Endocrine Neoplasia;C04.700.630
Multiple Endocrine Neoplasia Type 1;C04.700.630.500
Multiple Endocrine Neoplasia Type 2a;C04.700.630.505
Multiple Endocrine Neoplasia Type 2b;C04.700.630.510
Neurofibromatoses;C04.700.631
Neurofibromatosis 1;C04.700.631.650
Neurofibromatosis 2;C04.700.631.655
Peutz-Jeghers Syndrome;C04.700.633
Tuberous Sclerosis;C04.700.700
Wilms Tumor;C04.700.900
Denys-Drash Syndrome;C04.700.900.220
WAGR Syndrome;C04.700.900.950
Paraneoplastic Syndromes;C04.730
Paraneoplastic Endocrine Syndromes;C04.730.713
ACTH Syndrome, Ectopic;C04.730.713.317
Zollinger-Ellison Syndrome;C04.730.713.988
Paraneoplastic Syndromes, Nervous System;C04.730.856
Anti-N-Methyl-D-Aspartate Receptor Encephalitis;C04.730.856.112
Lambert-Eaton Myasthenic Syndrome;C04.730.856.225
Limbic Encephalitis;C04.730.856.437
Myelitis, Transverse;C04.730.856.543
Opsoclonus-Myoclonus Syndrome;C04.730.856.596
Paraneoplastic Cerebellar Degeneration;C04.730.856.650
Paraneoplastic Polyneuropathy;C04.730.856.700
Paraneoplastic Syndromes, Ocular;C04.730.900
Precancerous Conditions;C04.834
Aberrant Crypt Foci;C04.834.020
Barrett Esophagus;C04.834.154
Erythroplasia;C04.834.288
Keratosis, Actinic;C04.834.450
Leukoplakia;C04.834.512
Leukoplakia, Oral;C04.834.512.513
Leukoplakia, Hairy;C04.834.512.513.500
Lymphomatoid Granulomatosis;C04.834.567
Preleukemia;C04.834.770
Smoldering Multiple Myeloma;C04.834.794
Uterine Cervical Dysplasia;C04.834.818
Atypical Squamous Cells of the Cervix;C04.834.818.249
Squamous Intraepithelial Lesions of the Cervix;C04.834.818.500
Xeroderma Pigmentosum;C04.834.867
Pregnancy Complications, Neoplastic;C04.850
Trophoblastic Neoplasms;C04.850.908
Choriocarcinoma;C04.850.908.208
Choriocarcinoma, Non-gestational;C04.850.908.208.438
Trophoblastic Tumor, Placental Site;C04.850.908.208.875
Gestational Trophoblastic Disease;C04.850.908.416
Hydatidiform Mole;C04.850.908.416.750
Hydatidiform Mole, Invasive;C04.850.908.416.750.500
Musculoskeletal Diseases;C05
Bone Diseases;C05.116
Bone Cysts;C05.116.070
Bone Cysts, Aneurysmal;C05.116.070.265
Bone Diseases, Developmental;C05.116.099
Acro-Osteolysis;C05.116.099.052
Hajdu-Cheney Syndrome;C05.116.099.052.400
Basal Cell Nevus Syndrome;C05.116.099.105
Dwarfism;C05.116.099.343
Achondroplasia;C05.116.099.343.110
Thanatophoric Dysplasia;C05.116.099.343.110.500
Cockayne Syndrome;C05.116.099.343.250
Congenital Hypothyroidism;C05.116.099.343.347
Dwarfism, Pituitary;C05.116.099.343.445
Laron Syndrome;C05.116.099.343.679
Mulibrey Nanism;C05.116.099.343.796
Weill-Marchesani Syndrome;C05.116.099.343.957
Dysostoses;C05.116.099.370
Craniofacial Dysostosis;C05.116.099.370.231
Hallermann's Syndrome;C05.116.099.370.231.427
Hypertelorism;C05.116.099.370.231.480
Mandibulofacial Dysostosis;C05.116.099.370.231.576
Goldenhar Syndrome;C05.116.099.370.231.576.410
Focal Dermal Hypoplasia;C05.116.099.370.380
Klippel-Feil Syndrome;C05.116.099.370.535
Orofaciodigital Syndromes;C05.116.099.370.652
Rubinstein-Taybi Syndrome;C05.116.099.370.797
Synostosis;C05.116.099.370.894
Antley-Bixler Syndrome Phenotype;C05.116.099.370.894.115
Craniosynostoses;C05.116.099.370.894.232
Acrocephalosyndactylia;C05.116.099.370.894.232.015
Syndactyly;C05.116.099.370.894.819
Acrocephalosyndactylia;C05.116.099.370.894.819.100
Fraser Syndrome;C05.116.099.370.894.819.428
Poland Syndrome;C05.116.099.370.894.819.756
Tarsal Coalition;C05.116.099.370.894.909
Funnel Chest;C05.116.099.386
Gigantism;C05.116.099.492
Leg Length Inequality;C05.116.099.655
Marfan Syndrome;C05.116.099.674
Osteochondrodysplasias;C05.116.099.708
Achondroplasia;C05.116.099.708.017
Thanatophoric Dysplasia;C05.116.099.708.017.500
Acquired Hyperostosis Syndrome;C05.116.099.708.025
Camurati-Engelmann Syndrome;C05.116.099.708.180
Chondrodysplasia Punctata;C05.116.099.708.195
Chondrodysplasia Punctata, Rhizomelic;C05.116.099.708.195.200
Cleidocranial Dysplasia;C05.116.099.708.207
Ellis-Van Creveld Syndrome;C05.116.099.708.327
Enchondromatosis;C05.116.099.708.338
Fibrous Dysplasia of Bone;C05.116.099.708.375
Cherubism;C05.116.099.708.375.199
Craniofacial Fibrous Dysplasia;C05.116.099.708.375.286
Fibrous Dysplasia, Monostotic;C05.116.099.708.375.372
Fibrous Dysplasia, Polyostotic;C05.116.099.708.375.381
Hyperostosis, Cortical, Congenital;C05.116.099.708.479
Hyperostosis Frontalis Interna;C05.116.099.708.486
Kashin-Beck Disease;C05.116.099.708.534
Langer-Giedion Syndrome;C05.116.099.708.582
Osteochondroma;C05.116.099.708.670
Osteochondromatosis;C05.116.099.708.670.615
Exostoses, Multiple Hereditary;C05.116.099.708.670.615.325
Osteogenesis Imperfecta;C05.116.099.708.685
Osteosclerosis;C05.116.099.708.702
Melorheostosis;C05.116.099.708.702.593
Osteopetrosis;C05.116.099.708.702.678
Osteopoikilosis;C05.116.099.708.702.685
Pycnodysostosis;C05.116.099.708.779
Short Rib-Polydactyly Syndrome;C05.116.099.708.857
Slipped Capital Femoral Epiphyses;C05.116.099.708.928
Osteolysis, Essential;C05.116.099.736
Pectus Carinatum;C05.116.099.739
Platybasia;C05.116.099.742
Proteus Syndrome;C05.116.099.750
Bone Diseases, Endocrine;C05.116.132
Acromegaly;C05.116.132.082
Congenital Hypothyroidism;C05.116.132.256
Dwarfism, Pituitary;C05.116.132.358
Gigantism;C05.116.132.479
Osteitis Fibrosa Cystica;C05.116.132.684
Bone Diseases, Infectious;C05.116.165
Osteomyelitis;C05.116.165.495
Mastoiditis;C05.116.165.495.249
Petrositis;C05.116.165.495.500
Pott Puffy Tumor;C05.116.165.495.750
Periostitis;C05.116.165.595
Spondylitis;C05.116.165.762
Discitis;C05.116.165.762.301
Tuberculosis, Osteoarticular;C05.116.165.886
Tuberculosis, Spinal;C05.116.165.886.722
Bone Diseases, Metabolic;C05.116.198
Bone Demineralization, Pathologic;C05.116.198.247
Decalcification, Pathologic;C05.116.198.247.400
Mucolipidoses;C05.116.198.371
Osteoporosis;C05.116.198.579
Female Athlete Triad Syndrome;C05.116.198.579.304
Osteoporosis, Postmenopausal;C05.116.198.579.610
Pseudohypoparathyroidism;C05.116.198.709
Pseudopseudohypoparathyroidism;C05.116.198.709.628
Rickets;C05.116.198.816
Osteomalacia;C05.116.198.816.640
Chronic Kidney Disease-Mineral and Bone Disorder;C05.116.198.816.750
Rickets, Hypophosphatemic;C05.116.198.816.875
Familial Hypophosphatemic Rickets;C05.116.198.816.875.500
Bone Malalignment;C05.116.214
Bone Anteversion;C05.116.214.500
Coxa Vara;C05.116.214.500.500
Bone Retroversion;C05.116.214.750
Coxa Valga;C05.116.214.750.500
Bone Neoplasms;C05.116.231
Adamantinoma;C05.116.231.030
Femoral Neoplasms;C05.116.231.343
Skull Neoplasms;C05.116.231.754
Jaw Neoplasms;C05.116.231.754.450
Mandibular Neoplasms;C05.116.231.754.450.583
Maxillary Neoplasms;C05.116.231.754.450.601
Palatal Neoplasms;C05.116.231.754.450.692
Nose Neoplasms;C05.116.231.754.600
Orbital Neoplasms;C05.116.231.754.659
Skull Base Neoplasms;C05.116.231.754.829
Spinal Neoplasms;C05.116.231.828
Bone Resorption;C05.116.264
Ainhum;C05.116.264.143
Alveolar Bone Loss;C05.116.264.150
Osteolysis;C05.116.264.579
Acro-Osteolysis;C05.116.264.579.052
Hajdu-Cheney Syndrome;C05.116.264.579.052.400
Osteolysis, Essential;C05.116.264.579.704
Coxa Magna;C05.116.296
Coxa Valga;C05.116.327
Eosinophilic Granuloma;C05.116.391
Epiphyses, Slipped;C05.116.425
Slipped Capital Femoral Epiphyses;C05.116.425.500
Genu Valgum;C05.116.482
Genu Varum;C05.116.511
Hyperostosis;C05.116.540
Exostoses;C05.116.540.310
Exostoses, Multiple Hereditary;C05.116.540.310.500
Heel Spur;C05.116.540.310.600
Osteophyte;C05.116.540.310.800
Hyperostosis, Cortical, Congenital;C05.116.540.400
Hyperostosis, Diffuse Idiopathic Skeletal;C05.116.540.410
Hyperostosis Frontalis Interna;C05.116.540.420
Hyperostosis, Sternocostoclavicular;C05.116.540.600
Osteitis;C05.116.680
Osteitis Deformans;C05.116.692
Osteoarthropathy, Primary Hypertrophic;C05.116.725
Osteoarthropathy, Secondary Hypertrophic;C05.116.758
Osteochondritis;C05.116.791
Osteochondritis Dissecans;C05.116.791.668
Osteochondrosis;C05.116.821
Spinal Osteochondrosis;C05.116.821.500
Scheuermann Disease;C05.116.821.500.500
Osteonecrosis;C05.116.852
Bisphosphonate-Associated Osteonecrosis of the Jaw;C05.116.852.087
Femur Head Necrosis;C05.116.852.175
Legg-Calve-Perthes Disease;C05.116.852.175.570
Spinal Diseases;C05.116.900
Intervertebral Disc Degeneration;C05.116.900.153
Intervertebral Disc Displacement;C05.116.900.307
Ossification of Posterior Longitudinal Ligament;C05.116.900.480
Platybasia;C05.116.900.540
Posterior Cervical Sympathetic Syndrome;C05.116.900.596
Spinal Curvatures;C05.116.900.800
Kyphosis;C05.116.900.800.500
Scheuermann Disease;C05.116.900.800.500.500
Lordosis;C05.116.900.800.750
Scoliosis;C05.116.900.800.875
Spinal Neoplasms;C05.116.900.801
Spinal Osteochondrosis;C05.116.900.808
Scheuermann Disease;C05.116.900.808.500
Spinal Osteophytosis;C05.116.900.815
Hyperostosis, Diffuse Idiopathic Skeletal;C05.116.900.815.651
Spinal Stenosis;C05.116.900.825
Spondylitis;C05.116.900.853
Discitis;C05.116.900.853.500
Spondylarthritis;C05.116.900.853.625
Osteoarthritis, Spine;C05.116.900.853.625.399
Spondylarthropathies;C05.116.900.853.625.800
Arthritis, Psoriatic;C05.116.900.853.625.800.424
Arthritis, Reactive;C05.116.900.853.625.800.637
Spondylitis, Ankylosing;C05.116.900.853.625.800.850
Tuberculosis, Spinal;C05.116.900.853.850
Spondylosis;C05.116.900.938
Spondylolysis;C05.116.900.938.500
Spondylolisthesis;C05.116.900.938.500.500
Cartilage Diseases;C05.182
Chondromalacia Patellae;C05.182.100
Laryngomalacia;C05.182.310
Osteochondritis;C05.182.520
Pectus Carinatum;C05.182.525
Polychondritis, Relapsing;C05.182.531
Tietze's Syndrome;C05.182.790
Tracheobronchomalacia;C05.182.895
Bronchomalacia;C05.182.895.249
Tracheomalacia;C05.182.895.500
Fasciitis;C05.321
Fasciitis, Necrotizing;C05.321.550
Fasciitis, Plantar;C05.321.600
Foot Deformities;C05.330
Foot Deformities, Acquired;C05.330.488
Bunion;C05.330.488.050
Bunion, Tailor's;C05.330.488.050.500
Hallux Limitus;C05.330.488.300
Hallux Rigidus;C05.330.488.310
Talipes;C05.330.488.655
Clubfoot;C05.330.488.655.063
Equinus Deformity;C05.330.488.655.125
Flatfoot;C05.330.488.655.250
Talipes Cavus;C05.330.488.655.500
Foot Deformities, Congenital;C05.330.495
Talipes;C05.330.495.681
Clubfoot;C05.330.495.681.063
Equinus Deformity;C05.330.495.681.125
Flatfoot;C05.330.495.681.250
Talipes Cavus;C05.330.495.681.500
Tarsal Coalition;C05.330.495.787
Hallux Valgus;C05.330.610
Hallux Varus;C05.330.612
Hammer Toe Syndrome;C05.330.615
Metatarsal Valgus;C05.330.663
Metatarsus Varus;C05.330.711
Foot Diseases;C05.360
Fasciitis, Plantar;C05.360.350
Fibromatosis, Plantar;C05.360.375
Heel Spur;C05.360.400
Metatarsalgia;C05.360.500
Morton Neuroma;C05.360.500.500
Posterior Tibial Tendon Dysfunction;C05.360.750
Hand Deformities;C05.390
Hand Deformities, Acquired;C05.390.110
Hand Deformities, Congenital;C05.390.408
Jaw Diseases;C05.500
Bisphosphonate-Associated Osteonecrosis of the Jaw;C05.500.086
Cherubism;C05.500.174
Granuloma, Giant Cell;C05.500.368
Jaw Abnormalities;C05.500.460
Cleft Palate;C05.500.460.185
Micrognathism;C05.500.460.457
Pierre Robin Syndrome;C05.500.460.606
Prognathism;C05.500.460.655
Retrognathia;C05.500.460.827
Jaw Cysts;C05.500.470
Nonodontogenic Cysts;C05.500.470.660
Odontogenic Cysts;C05.500.470.690
Basal Cell Nevus Syndrome;C05.500.470.690.150
Dentigerous Cyst;C05.500.470.690.310
Odontogenic Cyst, Calcifying;C05.500.470.690.605
Periodontal Cyst;C05.500.470.690.790
Radicular Cyst;C05.500.470.690.790.820
Jaw, Edentulous;C05.500.480
Jaw, Edentulous, Partially;C05.500.480.450
Jaw Neoplasms;C05.500.499
Mandibular Neoplasms;C05.500.499.583
Maxillary Neoplasms;C05.500.499.601
Palatal Neoplasms;C05.500.499.692
Mandibular Diseases;C05.500.607
Craniomandibular Disorders;C05.500.607.221
Temporomandibular Joint Disorders;C05.500.607.221.897
Temporomandibular Joint Dysfunction Syndrome;C05.500.607.221.897.897
Mandibular Neoplasms;C05.500.607.442
Prognathism;C05.500.607.655
Maxillary Diseases;C05.500.693
Maxillary Neoplasms;C05.500.693.528
Joint Diseases;C05.550
Ankylosis;C05.550.069
Spondylitis, Ankylosing;C05.550.069.680
Arthralgia;C05.550.091
Shoulder Pain;C05.550.091.700
Arthritis;C05.550.114
Arthritis, Experimental;C05.550.114.015
Arthritis, Infectious;C05.550.114.099
Arthritis, Reactive;C05.550.114.099.500
Arthritis, Juvenile;C05.550.114.122
Arthritis, Psoriatic;C05.550.114.145
Arthritis, Rheumatoid;C05.550.114.154
Caplan Syndrome;C05.550.114.154.219
Felty Syndrome;C05.550.114.154.389
Rheumatoid Nodule;C05.550.114.154.683
Rheumatoid Vasculitis;C05.550.114.154.728
Sjogren's Syndrome;C05.550.114.154.774
Still's Disease, Adult-Onset;C05.550.114.154.870
Chondrocalcinosis;C05.550.114.264
Rotator Cuff Tear Arthropathy;C05.550.114.264.500
Gout;C05.550.114.423
Arthritis, Gouty;C05.550.114.423.410
Osteoarthritis;C05.550.114.606
Osteoarthritis, Hip;C05.550.114.606.400
Osteoarthritis, Knee;C05.550.114.606.500
Osteoarthritis, Spine;C05.550.114.606.750
Periarthritis;C05.550.114.678
Rheumatic Fever;C05.550.114.843
Rheumatic Nodule;C05.550.114.843.566
Wissler's Syndrome;C05.550.114.843.823
Sacroiliitis;C05.550.114.854
Spondylarthritis;C05.550.114.865
Osteoarthritis, Spine;C05.550.114.865.399
Spondylarthropathies;C05.550.114.865.800
Arthritis, Psoriatic;C05.550.114.865.800.424
Arthritis, Reactive;C05.550.114.865.800.637
Spondylitis, Ankylosing;C05.550.114.865.800.850
Arthrogryposis;C05.550.150
Arthropathy, Neurogenic;C05.550.186
Bursitis;C05.550.251
Periarthritis;C05.550.251.595
Chondromatosis, Synovial;C05.550.287
Contracture;C05.550.323
Hip Contracture;C05.550.323.468
Ischemic Contracture;C05.550.323.734
Crystal Arthropathies;C05.550.354
Chondrocalcinosis;C05.550.354.125
Rotator Cuff Tear Arthropathy;C05.550.354.250
Gout;C05.550.354.500
Arthritis, Gouty;C05.550.354.500.500
Femoracetabular Impingement;C05.550.384
Hallux Limitus;C05.550.445
Hallux Rigidus;C05.550.450
Hemarthrosis;C05.550.459
Hydrarthrosis;C05.550.509
Joint Deformities, Acquired;C05.550.515
Joint Dislocations;C05.550.518
Diastasis, Bone;C05.550.518.192
Pubic Symphysis Diastasis;C05.550.518.192.500
Diastasis, Muscle;C05.550.518.288
Fracture Dislocation;C05.550.518.336
Colles' Fracture;C05.550.518.336.500
Monteggia's Fracture;C05.550.518.336.750
Salter-Harris Fractures;C05.550.518.336.875
Hip Dislocation;C05.550.518.384
Knee Dislocation;C05.550.518.500
Patellar Dislocation;C05.550.518.625
Shoulder Dislocation;C05.550.518.750
Joint Instability;C05.550.521
Joint Loose Bodies;C05.550.535
Metatarsalgia;C05.550.610
Morton Neuroma;C05.550.610.500
Nail-Patella Syndrome;C05.550.629
Osteoarthropathy, Primary Hypertrophic;C05.550.648
Osteoarthropathy, Secondary Hypertrophic;C05.550.684
Patellofemoral Pain Syndrome;C05.550.700
Shoulder Impingement Syndrome;C05.550.840
Synovitis;C05.550.870
Giant Cell Tumor of Tendon Sheath;C05.550.870.445
Synovitis, Pigmented Villonodular;C05.550.870.445.500
Temporomandibular Joint Disorders;C05.550.905
Temporomandibular Joint Dysfunction Syndrome;C05.550.905.905
Muscular Diseases;C05.651
Arthrogryposis;C05.651.102
Compartment Syndromes;C05.651.180
Anterior Compartment Syndrome;C05.651.180.063
Intra-Abdominal Hypertension;C05.651.180.297
Ischemic Contracture;C05.651.180.531
Contracture;C05.651.197
Dupuytren Contracture;C05.651.197.270
Fibromatosis, Plantar;C05.651.197.369
Hip Contracture;C05.651.197.468
Ischemic Contracture;C05.651.197.734
Craniomandibular Disorders;C05.651.243
Temporomandibular Joint Disorders;C05.651.243.897
Temporomandibular Joint Dysfunction Syndrome;C05.651.243.897.897
Eosinophilia-Myalgia Syndrome;C05.651.290
Fatigue Syndrome, Chronic;C05.651.310
Fibromyalgia;C05.651.324
Isaacs Syndrome;C05.651.392
Medial Tibial Stress Syndrome;C05.651.426
Mitochondrial Myopathies;C05.651.460
Mitochondrial Encephalomyopathies;C05.651.460.620
MELAS Syndrome;C05.651.460.620.520
MERRF Syndrome;C05.651.460.620.530
